"Date";"Channel";"Description";"2nd Description";"Start time";"Duration";"Variable\Target";"Total Individuals";"Podgrupa";"A16-49";"M16-49";"A4-15";"A4-9";
"01-11-2015";"13 Ulica [13th Street Universal]";"CSI - KRYMINALNE ZAGADKI LAS VEGAS /SER.SENS.USA/";"CRIME SCENE INVESTIGATION";"02:00:00";"00:09:07";"AMR";37 029;1 251;0;0;0;0;
;;;;;;"AMR %";0,104 %;0,026 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";1,715 %;0,319 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,120 %;0,120 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";42 803;5 701;0;0;0;0;
;;"PROMO";" ";"02:09:07";"00:01:06";"AMR";37 101;0;0;0;0;0;
;;;;;;"AMR %";0,104 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";1,822 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,104 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";37 101;0;0;0;0;0;
;;"INSIDE MOVIES /MAG.FILM.USA/";"INSIDE MOVIES";"02:10:13";"00:04:01";"AMR";32 247;0;0;0;0;0;
;;;;;;"AMR %";0,090 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";1,637 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,104 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";37 101;0;0;0;0;0;
;;"PROMO";" ";"02:14:14";"00:01:09";"AMR";31 071;0;0;0;0;0;
;;;;;;"AMR %";0,087 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";1,613 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,087 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";31 071;0;0;0;0;0;
;;"CSI NY - KRYMINALNE ZAGADKI NOWEGO JORKU /SER. SENS. USA/";"CSI: NY";"02:15:23";"00:40:22";"AMR";23 196;0;0;0;0;0;
;;;;;;"AMR %";0,065 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";1,501 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,087 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";31 071;0;0;0;0;0;
;;"PROMO";" ";"02:39:27";"00:01:58";"AMR";17 023;0;0;0;0;0;
;;;;;;"AMR %";0,048 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";1,150 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,087 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";31 071;0;0;0;0;0;
;;"PROMO";" ";"02:57:43";"00:01:10";"AMR";5 216;0;0;0;0;0;
;;;;;;"AMR %";0,015 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"SHR %";0,407 %;0,000 %;0,000 %;0,000 %;0,000 %;n.a.;
;;;;;;"RCH %  [Not cons. - TH: 0min.]";0,032 %;0,000 %;0,000 %;0,000 %;0,000 %;0,000 %;
;;;;;;"RCH  [Not cons. - TH: 0min.]";11 570;0;0;0;0;0;
